PROVINCIA,EMPLEADOS,VENTAS,ENDEUDAMIENTO_CORTO_PLAZO,FONDO_MANIOBRA,FONDOS_PROPIOS,ScoreBinario,DummieConcursoAcreedores,DummieReclamaciones,DummieIncidencias,AñosConstitucion,CNAE_Categorias,$T-Bietápico,$O-Anomaly
ZARAGOZA,1.000,1848779.920,607881.030,323324.990,668683.590,0,0,0,0,26.000,7,clúster-6,F
ZARAGOZA,1.000,885373.090,443675.220,173989.550,1108699.610,0,0,0,0,14.000,14,clúster-3,F
BIZKAIA,1.000,683650.000,4519.150,977398.520,977398.520,0,0,0,0,29.000,6,clúster-5,F
GIRONA,1.000,10284.000,3284.790,45581.410,54952.910,0,0,0,0,29.000,14,clúster-5,F
CASTELLON,20.000,8039742.300,1074616.940,2641600.610,3377456.360,0,0,0,0,33.000,8,clúster-5,F
ZARAGOZA,1.000,169980.480,17619.930,263979.620,1834938.640,0,0,0,0,27.000,12,clúster-6,F
ASTURIAS,3.000,162256.010,15224.860,50936.380,54761.930,0,0,0,0,29.000,3,clúster-5,F
ALBACETE,1.000,0.000,255779.330,255525.760,18480.630,0,0,0,0,18.000,3,clúster-4,F
BARCELONA,23.000,980462.830,96199.840,27550.540,1358839.130,0,0,0,0,26.000,17,clúster-6,F
TARRAGONA,2.000,1271267.430,301060.600,108179.100,143725.720,0,0,0,0,24.000,7,clúster-6,F
BARCELONA,4.000,203124.470,82059.930,68719.760,90719.760,0,0,0,0,18.000,7,clúster-4,F
SEVILLA,6.000,328369.430,160977.220,14928.730,26859.870,0,0,0,0,24.000,6,clúster-6,F
BIZKAIA,5.000,374030.460,109374.640,25268.610,19036.650,0,0,0,0,20.000,6,clúster-8,F
BIZKAIA,12.000,506051.420,185083.630,144033.730,146492.290,0,0,0,0,29.000,8,clúster-5,F
MADRID,7.000,299415.320,204566.710,37736.920,-5026.230,0,0,0,0,24.000,6,clúster-6,F
BARCELONA,4.000,818822.480,90164.320,218407.410,250354.790,0,0,0,0,26.000,3,clúster-6,F
SEVILLA,1.000,57360.860,260936.810,-95302.070,447979.400,0,0,0,0,24.000,13,clúster-6,F
BARCELONA,10.000,1120497.340,167187.870,415450.740,711947.900,0,0,0,0,20.000,13,clúster-8,F
OURENSE,1.000,64809.350,17988.440,-4448.270,-1095.040,0,0,0,0,29.000,13,clúster-5,F
TARRAGONA,9.000,4192255.480,1136727.080,598026.190,1609149.470,0,0,0,0,35.000,7,clúster-5,F
MURCIA,1.000,56727.830,67740.060,146653.820,152731.570,0,0,0,0,26.000,7,clúster-6,F
CASTELLON,4.000,608390.910,242955.070,-118787.990,59010.190,0,0,0,0,24.000,8,clúster-6,F
GIPUZKOA,5.000,481471.450,233045.940,-142087.560,447676.620,0,0,0,0,31.000,8,clúster-5,F
CASTELLON,10.000,968311.130,210315.340,257702.580,751720.270,0,0,0,0,33.000,8,clúster-5,F
PONTEVEDRA,4.000,287544.960,32071.270,529892.170,536245.660,0,0,0,0,36.000,6,clúster-5,F
OURENSE,4.000,69226.330,29797.460,-5390.660,8878.620,0,0,0,0,29.000,13,clúster-5,F
VALENCIA,8.000,4041474.990,451680.730,724281.980,884298.140,0,0,0,0,24.000,3,clúster-6,F
PONTEVEDRA,4.000,663568.670,147227.000,-18624.590,153954.410,0,0,0,0,24.000,7,clúster-6,F
ASTURIAS,1.000,38850.050,37652.670,-33935.570,-33635.060,1,0,0,0,23.000,6,clúster-7,F
PONTEVEDRA,1.000,213349.360,69569.040,292906.960,308685.060,0,0,0,0,33.000,6,clúster-5,F
MALAGA,9.000,652569.360,5238917.260,-1530219.380,1328851.880,0,0,1,0,29.000,3,clúster-5,F
MADRID,1.000,20221.480,25207.930,559860.480,-53326.230,0,0,0,0,29.000,6,clúster-5,F
MALAGA,5.000,208121.480,53795.960,129259.190,131026.780,0,0,0,0,26.000,6,clúster-6,F
VALLADOLID,3.000,1010188.760,137819.680,606413.160,646471.640,0,0,0,0,24.000,7,clúster-6,F
SANTA CRUZ DE TENERIFE,1.000,125366.160,1621567.120,198594.810,3215810.430,0,0,0,0,18.000,6,clúster-4,F
ASTURIAS,4.000,583609.180,221092.030,-40337.770,455183.790,0,0,0,0,18.000,8,clúster-4,F
LLEIDA,1.000,152430.000,11223.140,-11144.580,21154.430,0,0,0,0,22.000,17,clúster-7,F
BARCELONA,8.000,2205303.840,193351.210,859377.970,1644901.080,0,0,0,0,13.000,7,clúster-3,F
CACERES,2.000,335325.380,57337.660,-24490.820,75475.140,0,0,0,0,20.000,6,clúster-8,F
ASTURIAS,17.000,4389693.950,851381.910,931375.120,3126908.360,0,0,0,0,34.000,7,clúster-5,F
MADRID,41.000,1205950.410,104086.930,307256.450,310500.870,0,0,0,0,22.000,6,clúster-7,F
SANTA CRUZ DE TENERIFE,14.000,2366100.460,-384069.550,1477272.680,4459726.910,0,0,0,0,28.000,13,clúster-5,F
CORUÑA (A),1.000,49026.110,133383.590,8245.200,12171.250,1,0,1,0,19.000,6,clúster-8,T
LEON,8.000,2949332.130,554464.590,281410.230,1002465.400,0,0,0,0,33.000,7,clúster-5,F
ALICANTE,11.000,1712969.440,344285.620,116643.780,510697.360,0,0,0,0,36.000,3,clúster-5,F
LLEIDA,0.000,175942.720,-253.850,123749.520,1182187.650,0,0,0,0,28.000,1,clúster-5,F
BARCELONA,1.000,249011.630,85540.000,52909.570,304053.990,0,0,0,0,35.000,8,clúster-5,F
BIZKAIA,20.000,6298908.900,1697532.220,452007.150,632815.280,0,0,0,0,28.000,7,clúster-5,F
MALAGA,3.000,272717.580,523971.920,-7983.170,116143.550,0,0,0,0,21.000,7,clúster-8,F
GIRONA,1.000,112027.570,23357.980,22761.870,22761.870,0,0,0,0,24.000,7,clúster-6,F
MALAGA,3.000,76946.080,159791.030,-22247.710,-69655.600,0,0,0,0,29.000,6,clúster-5,F
MADRID,1.000,117492.690,8153.840,19309.820,17352.520,0,0,0,0,16.000,17,clúster-4,F
MADRID,13.000,656937.560,879554.960,-847571.710,-166258.470,0,0,0,0,25.000,9,clúster-6,F
ZARAGOZA,2.000,188743.000,185986.750,19904.250,3132965.670,0,0,0,0,28.000,18,clúster-5,F
BIZKAIA,1.000,30040.020,2764.520,111227.150,111227.150,0,0,0,0,26.000,7,clúster-6,F
